Product_Brand,Product_Name,Product_Type,Product_Category,Product_Original_Price,Product_Offer_Price,Product_Discount,Product_Rating,Product_Ratings_Count,Product_Reviews_Count,Product_Highlight,Product_Stock_Status,Product_Rating_Scale,Product_Price_Difference
Lakme,"Lakme Lip & Cheek Soft Pinks Combo (2
pcs)",Kits & Combos,Combo,1450,870,40,4.2,52626,8427,,In Stock,High,580
Lakme,Lakme Turn Heads Collection (3 pcs),Kits & Combos,Combo,1248,860,31,4.4,95962,4830,,In Stock,High,388
Lakme,"Lakme 9To5 Vitamin C AM Routine Combo
(50gm)",Kits & Combos,Combo,1098,988,10,4.3,23443,1947,,In Stock,High,110
Lakme,"Lakme 9 To 5 Eyeconic Cream Powder
Eyeshadow Stack - Pink Beauty (7g)",Makeup,Eyes,699,594,15,3.8,30,3,,In Stock,Medium,105
Lakme,Lakme Peach Milk Hydration Combo (2 pcs),Kits & Combos,Combo,1019,865,15,4.4,18587,1557,,In Stock,High,154
Lakme,"Lakme CC Tinted Serum with 2% Hyaluronic
Acid - Dolce (30ml)",Skin Care,Serums,699,629,10,4.5,293,119,,In Stock,High,70
Lakme,"Lakme Get Set Shimmer Nail Polish
Collection (2 pcs)",Kits & Combos,Combo,378,0,0,4.3,36569,3588,,In Stock,High,378
Lakme,"Lakme Eyeconic Classic Brown Kajal -
Pack of 2 (2 pcs)",Kits & Combos,Combo,650,488,25,4.4,46750,4804,,In Stock,High,162
Lakme,"Lakme Perfect Face Combo (Eyeliner +
Primer)(2 Pcs)",Kits & Combos,Combo,649,489,25,4.4,94554,4793,,In Stock,High,160
Lakme,"Lakmé Hyaluronic Dewy Facewash with 4D
Hyaluronic Acid for Deep Hydration &
Glowing Skin (100g)",Skin Care,Cleansers,399,359,10,4.6,15,1,,In Stock,High,40
Lakme,Lakme 9 To 5 Vit C+ Under Eye Gel (15gm),Skin Care,Moisturizers,549,494,10,4.3,221,4,,In Stock,High,55
Lakme,Lakme Vitamin C Serum & Day Creme Combo,Kits & Combos,Combo,848,738,13,4.3,6304,362,,In Stock,High,110
Lakme,"Lakme Blush & Glow Brightening Face Wash
with Vitamin C Serum and Lemon Fruit
Extracts (150g)",Makeup,Face,490,0,0,0.0,0,0,,In Stock,Low,490
Lakme,"Lakme Glitterati Marble Highlighter -
Shimmer Rose (7g)",Makeup,Face,799,719,10,3.0,2,0,,In Stock,Medium,80
Lakme,"Lakme Vitamin C 10% Serum + Nia-VIT C
Sunscreen Combo",Kits & Combos,Combo,898,754,16,4.4,1625,346,,In Stock,High,144
Lakme,"Lakme Insta Eyeliner Combo - Black and
Green",Kits & Combos,Combo,370,333,10,4.3,86245,7984,,In Stock,High,37
Lakme,"Lakme Pink Blossom Lipstick & Blush
Combo (2 Pcs)",Kits & Combos,Combo,1898,0,0,4.6,132,74,,In Stock,High,1898
